t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.60000,1,1218.105,0.000,28.575,2616.0,Sliding
0.60500,0,629.865,0.000,28.575,451.2,Sliding
0.60500,1,1231.160,0.000,28.575,2606.2,Sliding
0.61000,0,632.146,0.000,28.575,461.0,Sliding
0.61000,1,1239.368,0.000,28.704,1952.4,Airborne
0.61500,0,634.476,0.000,28.575,470.8,Sliding
0.61500,1,1229.623,0.000,29.168,1950.1,Airborne
0.62000,0,636.854,0.000,28.575,480.6,Sliding
0.62000,1,1219.879,0.000,29.387,1949.0,Airborne
0.62500,0,639.282,0.000,28.575,490.5,Sliding
0.62500,1,1210.135,0.000,29.360,1949.1,Airborne
0.63000,0,641.759,0.000,28.575,500.3,Sliding
0.63000,1,1200.390,0.000,29.089,1950.5,Airborne
0.63500,0,644.285,0.000,28.575,510.1,Sliding
0.63500,1,1190.646,0.000,28.577,1950.4,Airborne
0.64000,0,646.860,0.000,28.575,519.9,Sliding
0.64000,1,1180.902,0.000,28.836,1949.1,Airborne
0.64500,0,649.483,0.000,28.575,529.7,Sliding
0.64500,1,1171.157,0.000,28.850,1949.0,Airborne
0.65000,0,652.156,0.000,28.575,539.5,Sliding
0.65000,1,1161.413,0.000,28.619,1950.2,Airborne
0.65500,0,654.878,0.000,28.575,549.3,Sliding
0.65500,1,1151.669,0.000,28.682,1948.9,Airborne
0.66000,0,657.649,0.000,28.575,559.1,Sliding
0.66000,1,1141.924,0.000,28.576,1949.1,Airborne
0.66500,0,660.469,0.000,28.575,568.9,Sliding
0.66500,1,1132.180,0.000,28.589,1949.0,Airborne
0.67000,0,663.338,0.000,28.575,578.7,Sliding
0.67000,1,1122.436,0.000,28.580,1948.9,Airborne
0.67500,0,666.256,0.000,28.575,588.5,Sliding
0.67500,1,1112.692,0.000,28.575,1946.9,Sliding
0.68000,0,669.223,0.000,28.575,598.3,Sliding
0.68000,1,1102.982,0.000,28.575,1937.1,Sliding
0.68500,0,672.240,0.000,28.575,608.1,Sliding
0.68500,1,1093.321,0.000,28.575,1927.3,Sliding
0.69000,0,675.305,0.000,28.575,617.9,Sliding
0.69000,1,1083.709,0.000,28.575,1917.5,Sliding
0.69500,0,678.419,0.000,28.575,627.7,Sliding
0.69500,1,1074.146,0.000,28.575,1907.7,Sliding
0.70000,0,681.582,0.000,28.575,637.6,Sliding
0.70000,1,1064.632,0.000,28.575,1897.9,Sliding
0.70500,0,684.795,0.000,28.575,647.4,Sliding
0.70500,1,1055.166,0.000,28.575,1888.1,Sliding
0.71000,0,688.056,0.000,28.575,657.2,Sliding
0.71000,1,1045.750,0.000,28.575,1878.3,Sliding
0.71500,0,691.366,0.000,28.575,667.0,Sliding
0.71500,1,1036.384,0.000,28.575,1868.5,Sliding
0.72000,0,694.726,0.000,28.575,676.8,Sliding
0.72000,1,1027.066,0.000,28.575,1858.7,Sliding
0.72500,0,698.134,0.000,28.575,686.6,Sliding
0.72500,1,1017.797,0.000,28.575,1848.9,Sliding
0.73000,0,701.591,0.000,28.575,696.4,Sliding
