t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.79000,0,560.804,0.000,28.575,62.2,Rolling
0.79000,1,1192.798,0.000,28.575,1501.9,Rolling
0.79500,0,560.494,0.000,28.575,61.8,Rolling
0.79500,1,1200.306,0.000,28.575,1501.4,Rolling
0.80000,0,560.187,0.000,28.575,61.3,Rolling
0.80000,1,1207.812,0.000,28.575,1500.9,Rolling
0.80500,0,559.882,0.000,28.575,60.8,Rolling
0.80500,1,1215.315,0.000,28.575,1500.4,Rolling
0.81000,0,559.579,0.000,28.575,60.3,Rolling
0.81000,1,1222.816,0.000,28.575,1499.9,Rolling
0.81500,0,559.279,0.000,28.575,59.8,Rolling
0.81500,1,1230.314,0.000,28.575,1499.4,Rolling
0.82000,0,558.981,0.000,28.575,59.3,Rolling
0.82000,1,1237.810,0.000,28.575,1498.9,Rolling
0.82500,0,558.686,0.000,28.575,58.8,Rolling
0.82500,1,1238.516,0.000,29.096,1139.7,Airborne
0.83000,0,558.393,0.000,28.575,58.3,Rolling
0.83000,1,1232.896,0.000,29.917,1132.7,Airborne
0.83500,0,558.103,0.000,28.575,57.8,Rolling
0.83500,1,1227.276,0.000,30.493,1127.7,Airborne
0.84000,0,557.815,0.000,28.575,57.3,Rolling
0.84000,1,1221.656,0.000,30.824,1124.8,Airborne
0.84500,0,557.529,0.000,28.575,56.9,Rolling
0.84500,1,1216.036,0.000,30.909,1124.0,Airborne
0.85000,0,557.246,0.000,28.575,56.4,Rolling
0.85000,1,1210.416,0.000,30.750,1125.4,Airborne
0.85500,0,556.966,0.000,28.575,55.9,Rolling
0.85500,1,1204.795,0.000,30.345,1129.0,Airborne
0.86000,0,556.687,0.000,28.575,55.4,Rolling
0.86000,1,1199.175,0.000,29.695,1134.6,Airborne
0.86500,0,556.412,0.000,28.575,54.9,Rolling
0.86500,1,1193.555,0.000,28.800,1142.3,Airborne
0.87000,0,556.139,0.000,28.575,54.4,Rolling
0.87000,1,1187.935,0.000,29.004,1127.6,Airborne
0.87500,0,555.868,0.000,28.575,53.9,Rolling
0.87500,1,1182.315,0.000,29.331,1124.8,Airborne
0.88000,0,555.599,0.000,28.575,53.4,Rolling
0.88000,1,1176.695,0.000,29.413,1124.0,Airborne
0.88500,0,555.334,0.000,28.575,52.9,Rolling
0.88500,1,1171.075,0.000,29.250,1125.5,Airborne
0.89000,0,555.070,0.000,28.575,52.4,Rolling
0.89000,1,1165.455,0.000,28.842,1129.0,Airborne
0.89500,0,554.809,0.000,28.575,51.9,Rolling
0.89500,1,1159.835,0.000,28.749,1125.1,Airborne
0.90000,0,554.551,0.000,28.575,51.5,Rolling
0.90000,1,1154.215,0.000,28.878,1124.0,Airborne
0.90500,0,554.295,0.000,28.575,51.0,Rolling
0.90500,1,1148.595,0.000,28.762,1125.0,Airborne
0.91000,0,554.041,0.000,28.575,50.5,Rolling
0.91000,1,1142.975,0.000,28.648,1124.3,Airborne
0.91500,0,553.790,0.000,28.575,50.0,Rolling
0.91500,1,1137.354,0.000,28.658,1124.2,Airborne
0.92000,0,553.541,0.000,28.575,49.5,Rolling
0.92000,1,1131.734,0.000,28.614,1124.0,Airborne
0.92500,0,553.295,0.000,28.575,49.0,Rolling
0.92500,1,1126.114,0.000,28.589,1124.0,Airborne
0.93000,0,553.051,0.000,28.575,48.5,Rolling
0.93000,1,1120.494,0.000,28.576,1124.0,Airborne
0.93500,0,552.810,0.000,28.575,48.0,Rolling
0.93500,1,1114.886,0.000,28.575,1117.3,Sliding
0.94000,0,552.571,0.000,28.575,47.5,Rolling
0.94000,1,1109.324,0.000,28.575,1107.5,Sliding
0.94500,0,552.334,0.000,28.575,47.0,Rolling
0.94500,1,1103.811,0.000,28.575,1097.7,Sliding
0.95000,0,552.100,0.000,28.575,46.6,Rolling
0.95000,1,1098.347,0.000,28.575,1087.9,Sliding
0.95500,0,551.869,0.000,28.575,46.1,Rolling
0.95500,1,1092.932,0.000,28.575,1078.1,Sliding
0.96000,0,551.640,0.000,28.575,45.6,Rolling
0.96000,1,1087.566,0.000,28.575,1068.3,Sliding
0.96500,0,551.413,0.000,28.575,45.1,Rolling
0.96500,1,1082.250,0.000,28.575,1058.5,Sliding
0.97000,0,551.189,0.000,28.575,44.6,Rolling
0.97000,1,1076.982,0.000,28.575,1048.6,Sliding
0.97500,0,550.967,0.000,28.575,44.1,Rolling
0.97500,1,1071.763,0.000,28.575,1038.8,Sliding
0.98000,0,550.748,0.000,28.575,43.6,Rolling
0.98000,1,1066.593,0.000,28.575,1029.0,Sliding
0.98500,0,550.531,0.000,28.575,43.1,Rolling
0.98500,1,1061.473,0.000,28.575,1019.2,Sliding
0.99000,0,550.317,0.000,28.575,42.6,Rolling
0.99000,1,1056.401,0.000,28.575,1009.4,Sliding
0.99500,0,550.105,0.000,28.575,42.1,Rolling
0.99500,1,1051.379,0.000,28.575,999.6,Sliding
1.00000,0,549.895,0.000,28.575,41.7,Rolling
1.00000,1,1046.405,0.000,28.575,989.8,Sliding
1.00500,0,549.688,0.000,28.575,41.2,Rolling
1.00500,1,1041.481,0.000,28.575,980.0,Sliding
1.01000,0,549.484,0.000,28.575,40.7,Rolling
1.01000,1,1036.605,0.000,28.575,970.2,Sliding
1.01500,0,549.282,0.000,28.575,40.2,Rolling
1.01500,1,1031.779,0.000,28.575,960.4,Sliding
1.02000,0,549.082,0.000,28.575,39.7,Rolling
1.02000,1,1027.001,0.000,28.575,950.6,Sliding
1.02500,0,548.885,0.000,28.575,39.2,Rolling
1.02500,1,1022.273,0.000,28.575,940.8,Sliding
1.03000,0,548.690,0.000,28.575,38.7,Rolling
1.03000,1,1017.593,0.000,28.575,931.0,Sliding
1.03500,0,548.498,0.000,28.575,38.2,Rolling
1.03500,1,1012.963,0.000,28.575,921.2,Sliding
1.04000,0,548.308,0.000,28.575,37.7,Rolling
1.04000,1,1008.382,0.000,28.575,911.4,Sliding
1.04500,0,548.120,0.000,28.575,37.2,Rolling
1.04500,1,1003.850,0.000,28.575,901.5,Sliding
1.05000,0,547.935,0.000,28.575,36.7,Rolling
1.05000,1,999.366,0.000,28.575,891.7,Sliding
1.05500,0,547.753,0.000,28.575,36.3,Rolling
1.05500,1,994.932,0.000,28.575,881.9,Sliding
1.06000,0,547.573,0.000,28.575,35.8,Rolling
1.06000,1,990.547,0.000,28.575,872.1,Sliding
1.06500,0,547.395,0.000,28.575,35.3,Rolling
1.06500,1,986.211,0.000,28.575,862.3,Sliding
1.07000,0,547.220,0.000,28.575,34.8,Rolling
1.07000,1,981.924,0.000,28.575,852.5,Sliding
1.07500,0,547.047,0.000,28.575,34.3,Rolling
1.07500,1,977.686,0.000,28.575,842.7,Sliding
1.08000,0,546.877,0.000,28.575,33.8,Rolling
1.08000,1,973.497,0.000,28.575,832.9,Sliding
1.08500,0,546.709,0.000,28.575,33.3,Rolling
1.08500,1,969.357,0.000,28.575,823.1,Sliding
1.09000,0,546.544,0.000,28.575,32.8,Rolling
1.09000,1,965.266,0.000,28.575,813.3,Sliding
1.09500,0,546.381,0.000,28.575,32.3,Rolling
1.09500,1,961.224,0.000,28.575,803.5,Sliding
1.10000,0,546.221,0.000,28.575,31.8,Rolling
1.10000,1,957.231,0.000,28.575,793.7,Sliding
1.10500,0,546.063,0.000,28.575,31.4,Rolling
1.10500,1,953.287,0.000,28.575,783.9,Sliding
1.11000,0,545.907,0.000,28.575,30.9,Rolling
1.11000,1,949.393,0.000,28.575,774.1,Sliding
1.11500,0,545.754,0.000,28.575,30.4,Rolling
1.11500,1,945.547,0.000,28.575,764.3,Sliding
1.12000,0,545.603,0.000,28.575,29.9,Rolling
1.12000,1,941.750,0.000,28.575,754.4,Sliding
1.12500,0,545.455,0.000,28.575,29.4,Rolling
1.12500,1,938.002,0.000,28.575,744.6,Sliding
1.13000,0,545.310,0.000,28.575,28.9,Rolling
1.13000,1,934.304,0.000,28.575,734.8,Sliding
1.13500,0,545.166,0.000,28.575,28.4,Rolling
1.13500,1,930.654,0.000,28.575,725.0,Sliding
1.14000,0,545.025,0.000,28.575,27.9,Rolling
1.14000,1,927.053,0.000,28.575,715.2,Sliding
1.14500,0,544.887,0.000,28.575,27.4,Rolling
1.14500,1,923.502,0.000,28.575,705.4,Sliding
1.15000,0,544.751,0.000,28.575,26.9,Rolling
1.15000,1,919.999,0.000,28.575,695.6,Sliding
1.15500,0,544.618,0.000,28.575,26.4,Rolling
1.15500,1,916.546,0.000,28.575,685.8,Sliding
1.16000,0,544.487,0.000,28.575,26.0,Rolling
1.16000,1,913.141,0.000,28.575,676.0,Sliding
1.16500,0,544.358,0.000,28.575,25.5,Rolling
1.16500,1,909.786,0.000,28.575,666.2,Sliding
1.17000,0,544.232,0.000,28.575,25.0,Rolling
1.17000,1,906.479,0.000,28.575,656.4,Sliding
1.17500,0,544.108,0.000,28.575,24.5,Rolling
1.17500,1,903.222,0.000,28.575,646.6,Sliding
1.18000,0,543.987,0.000,28.575,24.0,Rolling
1.18000,1,900.014,0.000,28.575,636.8,Sliding
1.18500,0,543.868,0.000,28.575,23.5,Rolling
1.18500,1,896.854,0.000,28.575,627.0,Sliding
1.19000,0,543.752,0.000,28.575,23.0,Rolling
1.19000,1,893.744,0.000,28.575,617.2,Sliding
1.19500,0,543.638,0.000,28.575,22.5,Rolling
1.19500,1,890.683,0.000,28.575,607.3,Sliding
1.20000,0,543.527,0.000,28.575,22.0,Rolling
1.20000,1,887.671,0.000,28.575,597.5,Sliding
1.20500,0,543.418,0.000,28.575,21.5,Rolling
1.20500,1,884.707,0.000,28.575,587.7,Sliding
